"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"5431","Larceny","200  Elk St","12/27/2015",200,"ELK ST","200  ELK ST ",-76.1429512610928,43.0250404536462
"5432","Larceny","300  W Newell St","12/27/2015",300,"W NEWELL ST","300  W NEWELL ST ",-76.1482793965545,43.0173712462603
"5433","Larceny","1000  Canal St","12/27/2015",1000,"CANAL ST","1000  CANAL ST ",-76.1250921682421,43.0515557140483
"5434","Larceny","1900  E Genesee St","12/27/2015",1900,"E GENESEE ST","1900  E GENESEE ST ",-76.1214103448008,43.0460789260434
"5435","Vehicle theft","1600  Midland Av","12/27/2015",1600,"MIDLAND AVE","1600  MIDLAND AV ",-76.1505068642532,43.0232517353837
"5436","Aggravated assault","100  Wood Av","12/26/2015",100,"WOOD AVE","100  WOOD AV ",-76.1455627801724,43.0261215642639
"5437","Aggravated assault","2100  Park St","12/26/2015",2100,"PARK ST","2100  PARK ST ",-76.169664434665,43.073647026778
"5439","Aggravated assault","100  Mary St","12/26/2015",100,"MARY ST","100  MARY ST ",-76.1511220469699,43.0621216106901
"5440","Aggravated assault","3300  Midland Av","12/26/2015",3300,"MIDLAND AVE","3300  MIDLAND AV ",-76.1476926342921,43.0105327922583
"5441","Aggravated assault","1000  James St","12/26/2015",1000,"JAMES ST","1000  JAMES ST ",-76.1345493260725,43.059207020147
"5442","Aggravated assault","0  Destiny Usa Dr","12/26/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5443","Burglary","800  Lancaster Av","12/26/2015",800,"LANCASTER AVE","800  LANCASTER AV ",-76.1231585054153,43.0366021296801
"5444","Burglary","1200  E Water St","12/26/2015",1200,"E WATER ST","1200  E WATER ST ",-76.1320289073152,43.0502276168016
"5445","Burglary","100  E Fayette St","12/26/2015",100,"E FAYETTE ST","100  E FAYETTE ST ",-76.1522226474308,43.0486918177446
"5446","Larceny","1100  W Onondaga St","12/26/2015",1100,"W ONONDAGA ST","1100  W ONONDAGA ST ",-76.1699680686937,43.0341207400654
"5447","Larceny","1700  Grant Blvd","12/26/2015",1700,"GRANT BLVD","1700  GRANT BLVD ",-76.139029640232,43.0722814871443
"5448","Larceny","700  Livingston Av","12/26/2015",700,"LIVINGSTON AVE","700  LIVINGSTON AV ",-76.1270706418628,43.0380439023348
"5449","Larceny","400  Churchill Av","12/26/2015",400,"CHURCHILL AVE","400  CHURCHILL AV ",-76.139853285852,43.0098745465669
"5450","Larceny","0  Destiny Usa Dr","12/26/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5451","Larceny","4700  Onondaga Blvd","12/26/2015",4700,"ONONDAGA BLVD","4700  ONONDAGA BLVD ",-76.193647069205,43.0323248226591
"5452","Larceny","300  Elm St","12/26/2015",300,"ELM ST","300  ELM ST ",-76.1300909087891,43.0520592062509
"5453","Larceny","2200  Burnet Av","12/26/2015",2200,"BURNET AVE","2200  BURNET AV ",-76.1054130554605,43.0582455567718
"5454","Larceny","100  E Warrington Rd","12/26/2015",100,"E WARRINGTON RD","100  E WARRINGTON RD ",-76.1436289089246,42.9942931997699
"5455","Larceny","300  E Onondaga St","12/26/2015",300,"E ONONDAGA ST","300  E ONONDAGA ST ",-76.1487621501191,43.0470306656881
"5456","Larceny","300  N Clinton St","12/26/2015",300,"N CLINTON ST","300  N CLINTON ST ",-76.1535054141816,43.0523782143337
"5457","Robbery","300  N Clinton St","12/26/2015",300,"N CLINTON ST","300  N CLINTON ST ",-76.1535054141816,43.0523782143337
"5458","Aggravated assault","500  Prospect Av","12/25/2015",500,"PROSPECT AVE","500  PROSPECT AV ",-76.1511782211971,43.0580832777061
"5459","Aggravated assault","100  W Fayette St","12/25/2015",100,"W FAYETTE ST","100  W FAYETTE ST ",-76.1522226474308,43.0486918177446
"5460","Arson","500  Kirk Park Dr","12/25/2015",500,"KIRK PARK DR","500  KIRK PARK DR ",-76.1541112804264,43.019382457336
"5461","Burglary","200  Polk St","12/25/2015",200,"POLK ST","200  POLK ST ",-76.0907646077541,43.0537520547543
"5462","Burglary","100  E Washington St","12/25/2015",100,"E WASHINGTON ST","100  E WASHINGTON ST ",-76.1522041405805,43.0495975435855
"5463","Burglary","100  E Washington St","12/25/2015",100,"E WASHINGTON ST","100  E WASHINGTON ST ",-76.1522041405805,43.0495975435855
"5464","Burglary","200  S Warren St","12/25/2015",200,"S WARREN ST","200  S WARREN ST ",-76.1507727336364,43.0495761609668
"5465","Burglary","1000  Butternut St","12/25/2015",1000,"BUTTERNUT ST","1000  BUTTERNUT ST ",-76.1433607651424,43.0640560703021
"5466","Burglary","300  Highland Av","12/25/2015",300,"HIGHLAND AVE","300  HIGHLAND AV ",-76.1358936718226,43.0607795193605
"5467","Larceny","0  Destiny Usa Dr","12/25/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5468","Larceny","900  Butternut St","12/25/2015",900,"BUTTERNUT ST","900  BUTTERNUT ST ",-76.1440053900406,43.0628741350608
"5470","Larceny","100  Ruskin Av","12/25/2015",100,"RUSKIN AVE","100  RUSKIN AV ",-76.1661661524179,43.0317204806722
"5471","Larceny","100  Smith Ln","12/25/2015",100,"SMITH LN","100  SMITH LN ",-76.1367750069272,43.0223034588626
"5472","Larceny","0  Destiny Usa Dr","12/25/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5473","Robbery","500  Pond St","12/25/2015",500,"POND ST","500  POND ST ",-76.1515233073699,43.065900727615
"5474","Aggravated assault","1200  Avery Av","12/24/2015",1200,"AVERY AVE","1200  AVERY AV ",-76.1987491957524,43.058084356726
"5475","Larceny","900  Hawley Av","12/24/2015",900,"HAWLEY AVE","900  HAWLEY AV ",-76.1303396191891,43.0553509149339
"5476","Larceny","0  Destiny Usa Dr","12/24/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5477","Larceny","800  Maryland Av","12/24/2015",800,"MARYLAND AVE","800  MARYLAND AV ",-76.1202980808881,43.0367456322901
"5478","Larceny","2400  James St","12/24/2015",2400,"JAMES ST","2400  JAMES ST ",-76.1127510756098,43.0685482101259
"5479","Larceny","700  Wolf St","12/24/2015",700,"WOLF ST","700  WOLF ST ",-76.1608689135842,43.075710459519
"5480","Larceny","200  Nichols Av","12/24/2015",200,"NICHOLS AVE","200  NICHOLS AV ",-76.1037038303225,43.0664727059326
"5481","Larceny","600  Plymouth Dr","12/24/2015",600,"PLYMOUTH DR","600  PLYMOUTH DR ",-76.0983384588656,43.0614272135763
"5482","Larceny","800  Spencer St","12/24/2015",800,"SPENCER ST","800  SPENCER ST ",-76.1720926775157,43.057256047191
"5483","Larceny","900  Hawley Av","12/24/2015",900,"HAWLEY AVE","900  HAWLEY AV ",-76.1303396191891,43.0553509149339
"5484","Vehicle theft","900  Highland St","12/24/2015",900,"HIGHLAND ST","900  HIGHLAND ST ",-76.141548229225,43.0640599833171
"5485","Aggravated assault","100  Genesee Park Dr","12/23/2015",100,"GENESEE PARK DR","100  GENESEE PARK DR ",-76.1095946622769,43.05068083549
"5486","Aggravated assault","100  S Carbon St","12/23/2015",100,"S CARBON ST","100  S CARBON ST ",-76.1433598455768,43.06397032201
"5487","Burglary","100  Roney Ln","12/23/2015",100,"RONEY LN","100  RONEY LN ",-76.1359419249577,43.0219167309359
"5488","Burglary","200  N Townsend St","12/23/2015",200,"N TOWNSEND ST","200  N TOWNSEND ST ",-76.145551722177,43.0522826565483
"5489","Burglary","100  Lexington Av","12/23/2015",100,"LEXINGTON AVE","100  LEXINGTON AV ",-76.1244324779687,43.0470556718851
"5490","Burglary","1300  Butternut St","12/23/2015",1300,"BUTTERNUT ST","1300  BUTTERNUT ST ",-76.1433296972061,43.068477148035
"5491","Larceny","1300  E Fayette St","12/23/2015",1300,"E FAYETTE ST","1300  E FAYETTE ST ",-76.1297719755233,43.0484013635829
"5492","Larceny","2400  James St","12/23/2015",2400,"JAMES ST","2400  JAMES ST ",-76.1127510756098,43.0685482101259
"5493","Larceny","200  Pond St","12/23/2015",200,"POND ST","200  POND ST ",-76.1528905765548,43.064076574773
"5494","Larceny","0  Destiny Usa Dr","12/23/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5495","Larceny","100  Sunnyside Park Rd","12/23/2015",100,"SUNNYSIDE PARK RD","100  SUNNYSIDE PARK RD ",-76.0932521863722,43.0428992642055
"5496","Larceny","4100  S Salina St","12/23/2015",4100,"S SALINA ST","4100  S SALINA ST ",-76.1425438631157,43.0088377895103
"5497","Larceny","100  Remington Av","12/23/2015",100,"REMINGTON AVE","100  REMINGTON AV ",-76.1332463586678,43.0185527267954
"5498","Larceny","100  Crawford Av","12/23/2015",100,"CRAWFORD AVE","100  CRAWFORD AV ",-76.1116496335198,43.0420780430776
"5499","Larceny","1300  E Fayette St","12/23/2015",1300,"E FAYETTE ST","1300  E FAYETTE ST ",-76.1297719755233,43.0484013635829
"5500","Burglary","200  Genesee Park Dr","12/22/2015",200,"GENESEE PARK DR","200  GENESEE PARK DR ",-76.1093838781621,43.0483538550651
"5501","Burglary","0  Destiny Usa Dr","12/22/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5502","Burglary","100  Grove St","12/22/2015",100,"GROVE ST","100  GROVE ST ",-76.1554563078177,43.0104030632983
"5503","Burglary","400  Hixson Av","12/22/2015",400,"HIXSON AVE","400  HIXSON AV ",-76.1200993559624,43.0628249169997
"5504","Larceny","200  Wolf St","12/22/2015",200,"WOLF ST","200  WOLF ST ",-76.1652419275639,43.0698605780818
"5505","Larceny","800  Ackerman Av","12/22/2015",800,"ACKERMAN AVE","800  ACKERMAN AV ",-76.1243851504626,43.0365387974449
"5506","Larceny","3100  E Genesee St","12/22/2015",3100,"E GENESEE ST","3100  E GENESEE ST ",-76.0981147835687,43.0428116294474
"5507","Larceny","300  Martin St","12/22/2015",300,"MARTIN ST","300  MARTIN ST ",-76.1514820060302,43.0814259698719
"5508","Larceny","200  Walton St","12/22/2015",200,"WALTON ST","200  WALTON ST ",-76.1555334559746,43.0479726444867
"5509","Larceny","300  S Salina St","12/22/2015",300,"S SALINA ST","300  S SALINA ST ",-76.1522226474308,43.0486918177446
"5510","Larceny","0  Destiny Usa Dr","12/22/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5511","Larceny","0  Destiny Usa Dr","12/22/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5512","Larceny","100  Stafford Av","12/22/2015",100,"STAFFORD AVE","100  STAFFORD AV ",-76.1127510756098,43.0685482101259
"5513","Larceny","900  Glenwood Av","12/22/2015",900,"GLENWOOD AVE","900  GLENWOOD AV ",-76.1739195035085,43.0194153986465
"5514","Larceny","1800  Grant Blvd","12/22/2015",1800,"GRANT BLVD","1800  GRANT BLVD ",-76.1400943248382,43.072234042052
"5515","Robbery","200  Griffiths St","12/22/2015",200,"GRIFFITHS ST","200  GRIFFITHS ST ",-76.1450101707415,43.0688599851473
"5516","Robbery","3100  Grant Blvd","12/22/2015",3100,"GRANT BLVD","3100  GRANT BLVD ",-76.1599806261306,43.0769185670247
"5517","Vehicle theft","900  N Townsend St","12/22/2015",900,"N TOWNSEND ST","900  N TOWNSEND ST ",-76.1509281538391,43.0598249555
"5518","Burglary","100  Crippen Pl","12/21/2015",100,"CRIPPEN PL","100  CRIPPEN PL ",-76.1441238692976,43.0037742064661
"5519","Burglary","200  Clifton Pl","12/21/2015",200,"CLIFTON PL","200  CLIFTON PL ",-76.1166769403008,43.0644893565724
"5520","Burglary","1500  E Genesee St","12/21/2015",1500,"E GENESEE ST","1500  E GENESEE ST ",-76.1276972991226,43.0470068116037
"5521","Burglary","1000  Butternut St","12/21/2015",1000,"BUTTERNUT ST","1000  BUTTERNUT ST ",-76.1433607651424,43.0640560703021
"5522","Burglary","1900  E Genesee St","12/21/2015",1900,"E GENESEE ST","1900  E GENESEE ST ",-76.1214103448008,43.0460789260434
"5523","Burglary","400  Seventh North St","12/21/2015",400,"SEVENTH NORTH ST","400  SEVENTH NORTH ST ",-76.1548677414211,43.0808799554045
"5524","Larceny","500  Garfield Av","12/21/2015",500,"GARFIELD AVE","500  GARFIELD AV ",-76.1413422443482,43.0261758907158
"5525","Larceny","300  Beecher St","12/21/2015",300,"BEECHER ST","300  BEECHER ST ",-76.1393789840591,43.0613643336671
"5526","Larceny","900  Spencer St","12/21/2015",900,"SPENCER ST","900  SPENCER ST ",-76.1736053980839,43.0573167248312
"5527","Larceny","0  Destiny Usa Dr","12/21/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5528","Larceny","4700  Onondaga Blvd","12/21/2015",4700,"ONONDAGA BLVD","4700  ONONDAGA BLVD ",-76.193647069205,43.0323248226591
"5529","Larceny","0  Destiny Usa Dr","12/21/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5530","Larceny","100  Becker St","12/21/2015",100,"BECKER ST","100  BECKER ST ",-76.1456532452401,43.0711824890454
"5531","Larceny","500  Garfield Av","12/21/2015",500,"GARFIELD AVE","500  GARFIELD AV ",-76.1413422443482,43.0261758907158
"5532","Robbery","900  N Salina St","12/21/2015",900,"N SALINA ST","900  N SALINA ST ",-76.1550479467754,43.0629554048407
"5533","Vehicle theft","4200  S Salina St","12/21/2015",4200,"S SALINA ST","4200  S SALINA ST ",-76.1427629151604,43.0079918566112
"5534","Aggravated assault","800  Avery Av","12/20/2015",800,"AVERY AVE","800  AVERY AV ",-76.1947325666238,43.0523743137387
"5535","Aggravated assault","100  Village Dr","12/20/2015",100,"VILLAGE DR","100  VILLAGE DR ",-76.1181346977529,43.070687413129
"5536","Aggravated assault","1000  Bellevue Av","12/20/2015",1000,"BELLEVUE AVE","1000  BELLEVUE AV ",-76.1698893065626,43.0330242213909
"5537","Burglary","100  E Fayette St","12/20/2015",100,"E FAYETTE ST","100  E FAYETTE ST ",-76.1522226474308,43.0486918177446
"5538","Burglary","800  Bear St","12/20/2015",800,"BEAR ST","800  BEAR ST ",-76.1577332516762,43.0744459012794
"5539","Burglary","200  N Geddes St","12/20/2015",200,"N GEDDES ST","200  N GEDDES ST ",-76.1707011902955,43.0501479117892
"5540","Burglary","200  Mariposa St","12/20/2015",200,"MARIPOSA ST","200  MARIPOSA ST ",-76.1200406853881,43.062056131877
"5541","Larceny","0  Destiny Usa Dr","12/20/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5542","Larceny","900  S Townsend St","12/20/2015",900,"S TOWNSEND ST","900  S TOWNSEND ST ",-76.1457305401621,43.0427600058908
"5543","Larceny","100  Parkside Av","12/20/2015",100,"PARKSIDE AVE","100  PARKSIDE AV ",-76.1608533575869,43.0254146797949
"5544","Larceny","400  Butternut St","12/20/2015",400,"BUTTERNUT ST","400  BUTTERNUT ST ",-76.1499713888643,43.0585933376979
"5545","Larceny","600  N Clinton St","12/20/2015",600,"N CLINTON ST","600  N CLINTON ST ",-76.1549372224148,43.0567669212045
"5546","Larceny","700  Wolf St","12/20/2015",700,"WOLF ST","700  WOLF ST ",-76.1608689135842,43.075710459519
"5547","Larceny","900  South Av","12/20/2015",900,"SOUTH AVE","900  SOUTH AV ",-76.1579513830078,43.0285532182857
"5548","Larceny","0  Destiny Usa Dr","12/20/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5549","Larceny","200  Mather St","12/20/2015",200,"MATHER ST","200  MATHER ST ",-76.1288213504847,43.0554136949995
"5550","Larceny","0  Destiny Usa Dr","12/20/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5552","Aggravated assault","400  S Collingwood Av","12/19/2015",400,"S COLLINGWOOD AVE","400  S COLLINGWOOD AV ",-76.1069588627808,43.0617804764854
"5553","Aggravated assault","1600  W Genesee St","12/19/2015",1600,"W GENESEE ST","1600  W GENESEE ST ",-76.1850959534861,43.0522574304285
"5554","Burglary","500  Clarendon St","12/19/2015",500,"CLARENDON ST","500  CLARENDON ST ",-76.1233061082975,43.0383447362043
"5555","Larceny","300  Dewitt Rd","12/19/2015",300,"DEWITT RD","300  DEWITT RD ",-76.0794699475009,43.0369378606136
"5556","Larceny","4700  Onondaga Blvd","12/19/2015",4700,"ONONDAGA BLVD","4700  ONONDAGA BLVD ",-76.193647069205,43.0323248226591
"5557","Larceny","0  Destiny Usa Dr","12/19/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5558","Larceny","0  Destiny Usa Dr","12/19/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5559","Larceny","0  Destiny Usa Dr","12/19/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5560","Larceny","2100  E Fayette St","12/19/2015",2100,"E FAYETTE ST","2100  E FAYETTE ST ",-76.1137109828578,43.0482046425932
"5561","Larceny","1000  Harrison St","12/19/2015",1000,"HARRISON ST","1000  HARRISON ST ",-76.1343908306139,43.0441820418569
"5562","Larceny","800  Ackerman Av","12/19/2015",800,"ACKERMAN AVE","800  ACKERMAN AV ",-76.1243851504626,43.0365387974449
"5563","Vehicle theft","300  Greenwood Pl","12/19/2015",300,"GREENWOOD PL","300  GREENWOOD PL ",-76.1221261867362,43.0407820341996
"5564","Vehicle theft","300  Woodbine Av","12/19/2015",300,"WOODBINE AVE","300  WOODBINE AV ",-76.1096337941566,43.063922892455
"5565","Aggravated assault","400  Shonnard St","12/18/2015",400,"SHONNARD ST","400  SHONNARD ST ",-76.1666485068791,43.0412410493441
"5566","Burglary","100  Mclennan Av","12/18/2015",100,"MCLENNAN AVE","100  MCLENNAN AV ",-76.1467996987611,43.0287333080032
"5567","Burglary","2200  S Salina St","12/18/2015",2200,"S SALINA ST","2200  S SALINA ST ",-76.1452890552487,43.0255316141495
"5568","Burglary","500  Park Av","12/18/2015",500,"PARK AVE","500  PARK AV ",-76.1642979960703,43.0520486420759
"5569","Burglary","1900  S Salina St","12/18/2015",1900,"S SALINA ST","1900  S SALINA ST ",-76.1463897337502,43.0278715399803
"5570","Larceny","1800  W Genesee St","12/18/2015",1800,"W GENESEE ST","1800  W GENESEE ST ",-76.191340112061,43.0511587827182
"5571","Larceny","1600  W Genesee St","12/18/2015",1600,"W GENESEE ST","1600  W GENESEE ST ",-76.1850959534861,43.0522574304285
"5572","Larceny","700  First North St","12/18/2015",700,"FIRST NORTH ST","700  FIRST NORTH ST ",-76.148962125934,43.0693624256203
"5573","Larceny","300  Robinson St","12/18/2015",300,"ROBINSON ST","300  ROBINSON ST ",-76.123580321037,43.0581791640898
