"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"5364","Larceny","0  Destiny Usa Dr","12/31/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5365","Larceny","100  Beverly Rd","12/31/2015",100,"BEVERLY RD","100  BEVERLY RD ",-76.1677072836414,43.0303404242047
"5366","Larceny","300  S Salina St","12/31/2015",300,"S SALINA ST","300  S SALINA ST ",-76.1522226474308,43.0486918177446
"5367","Larceny","1100  Madison St","12/31/2015",1100,"MADISON ST","1100  MADISON ST ",-76.1306291736675,43.0453176031568
"5368","Larceny","400  W Division St","12/31/2015",400,"W DIVISION ST","400  W DIVISION ST ",-76.1600055758254,43.0581543166784
"5369","Larceny","0  Destiny Usa Dr","12/31/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5370","Robbery","100  Sheridan Dr","12/31/2015",100,"SHERIDAN DR","100  SHERIDAN DR ",-76.1634457490909,43.0379471687915
"5371","Vehicle theft","100  Sunrise Dr","12/31/2015",100,"SUNRISE DR","100  SUNRISE DR ",-76.1377777965545,42.9985986852015
"5372","Vehicle theft","100  Sunrise Dr","12/31/2015",100,"SUNRISE DR","100  SUNRISE DR ",-76.1377777965545,42.9985986852015
"5373","Aggravated assault","200  Village Dr","12/30/2015",200,"VILLAGE DR","200  VILLAGE DR ",-76.1179595191027,43.0720461962832
"5374","Burglary","100  Rider Av","12/30/2015",100,"RIDER AVE","100  RIDER AV ",-76.180757881877,43.0326395155467
"5375","Burglary","100  Remington Av","12/30/2015",100,"REMINGTON AVE","100  REMINGTON AV ",-76.1332463586678,43.0185527267954
"5376","Larceny","2600  Erie Blvd E","12/30/2015",2600,"ERIE BLVD E","2600  ERIE BLVD E ",-76.1010227797571,43.0538831637548
"5377","Larceny","200  Green St","12/30/2015",200,"GREEN ST","200  GREEN ST ",-76.1400265212574,43.0542893988144
"5378","Larceny","800  Pond St","12/30/2015",800,"POND ST","800  POND ST ",-76.148962125934,43.0693624256203
"5379","Larceny","600  S Crouse Av","12/30/2015",600,"S CROUSE AVE","600  S CROUSE AV ",-76.1366092836158,43.0442023745098
"5380","Larceny","200  Seneca Dr","12/30/2015",200,"SENECA DR","200  SENECA DR ",-76.1397135520818,43.0043649272339
"5381","Larceny","300  Burnet Av","12/30/2015",300,"BURNET AVE","300  BURNET AV ",-76.1438206199675,43.0522646423303
"5382","Larceny","500  S Salina St","12/30/2015",500,"S SALINA ST","500  S SALINA ST ",-76.1522721403708,43.0443214972217
"5384","Larceny","1100  N Salina St","12/30/2015",1100,"N SALINA ST","1100  N SALINA ST ",-76.1566874705681,43.064861349553
"5385","Larceny","200  Green St","12/30/2015",200,"GREEN ST","200  GREEN ST ",-76.1400265212574,43.0542893988144
"5386","Larceny","2600  Erie Blvd E","12/30/2015",2600,"ERIE BLVD E","2600  ERIE BLVD E ",-76.1010227797571,43.0538831637548
"5387","Robbery","100  Maurice Av","12/30/2015",100,"MAURICE AVE","100  MAURICE AV ",-76.1582602998972,43.0127984336084
"5388","Vehicle theft","100  Oak St","12/30/2015",100,"OAK ST","100  OAK ST ",-76.1330589168687,43.05238067231
"5389","Aggravated assault","100  Almond St","12/29/2015",100,"ALMOND ST","100  ALMOND ST ",-76.1421134525655,43.0507832563481
"5390","Burglary","0  Destiny Usa Dr","12/29/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5391","Burglary","3500  James St","12/29/2015",3500,"JAMES ST","3500  JAMES ST ",-76.0989190099407,43.0691997808824
"5392","Burglary","300  Hoefler St","12/29/2015",300,"HOEFLER ST","300  HOEFLER ST ",-76.1796275379646,43.0356829680144
"5393","Burglary","100  Henry St","12/29/2015",100,"HENRY ST","100  HENRY ST ",-76.1407237642559,43.0375447129083
"5394","Larceny","500  University Av","12/29/2015",500,"UNIVERSITY AVE","500  UNIVERSITY AV ",-76.134362476362,43.045346015456
"5395","Larceny","0  Destiny Usa Dr","12/29/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5396","Larceny","0  Destiny Usa Dr","12/29/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5397","Larceny","300  Montgomery St","12/29/2015",300,"MONTGOMERY ST","300  MONTGOMERY ST ",-76.1493183522374,43.048652384225
"5398","Larceny","300  Hiawatha Blvd W","12/29/2015",300,"HIAWATHA BLVD W","300  HIAWATHA BLVD W ",-76.1688478574514,43.0688395329348
"5399","Larceny","500  University Av","12/29/2015",500,"UNIVERSITY AVE","500  UNIVERSITY AV ",-76.134362476362,43.045346015456
"5400","Vehicle theft","100  Wood Av","12/29/2015",100,"WOOD AVE","100  WOOD AV ",-76.1455627801724,43.0261215642639
"5401","Aggravated assault","100  Dudley St","12/28/2015",100,"DUDLEY ST","100  DUDLEY ST ",-76.1686605925215,43.0370328305859
"5402","Aggravated assault","600  N Salina St","12/28/2015",600,"N SALINA ST","600  N SALINA ST ",-76.1521584845254,43.0592965989761
"5403","Aggravated assault","1600  Midland Av","12/28/2015",1600,"MIDLAND AVE","1600  MIDLAND AV ",-76.1505068642532,43.0232517353837
"5404","Burglary","100  North Av","12/28/2015",100,"NORTH AVE","100  NORTH AV ",-76.1134069249323,43.0685200019119
"5405","Burglary","100  Mclennan Av","12/28/2015",100,"MCLENNAN AVE","100  MCLENNAN AV ",-76.1467996987611,43.0287333080032
"5406","Burglary","600  Mountainview Av","12/28/2015",600,"MOUNTAINVIEW AVE","600  MOUNTAINVIEW AV ",-76.0937915188429,43.0510491315223
"5407","Burglary","100  Bronson St","12/28/2015",100,"BRONSON ST","100  BRONSON ST ",-76.1454158840048,42.9944180993866
"5408","Burglary","500  W Brighton Av","12/28/2015",500,"W BRIGHTON AVE","500  W BRIGHTON AV ",-76.1523833138195,43.0196890536445
"5409","Burglary","500  Columbus Av","12/28/2015",500,"COLUMBUS AVE","500  COLUMBUS AV ",-76.1208110393131,43.0439661322428
"5410","Larceny","500  Otisco St","12/28/2015",500,"OTISCO ST","500  OTISCO ST ",-76.1648038897272,43.0452047136921
"5411","Larceny","100  Erie Blvd E","12/28/2015",100,"ERIE BLVD E","100  ERIE BLVD E ",-76.1521708073297,43.0508871327153
"5412","Larceny","900  Maryland Av","12/28/2015",900,"MARYLAND AVE","900  MARYLAND AV ",-76.1200969642339,43.0344978557496
"5413","Larceny","700  First North St","12/28/2015",700,"FIRST NORTH ST","700  FIRST NORTH ST ",-76.148962125934,43.0693624256203
"5414","Larceny","1100  Erie Blvd E","12/28/2015",1100,"ERIE BLVD E","1100  ERIE BLVD E ",-76.1342401357107,43.0506782342564
"5415","Larceny","200  Wall St","12/28/2015",200,"WALL ST","200  WALL ST ",-76.1730099442136,43.0502158055642
"5416","Larceny","900  James St","12/28/2015",900,"JAMES ST","900  JAMES ST ",-76.1386272183664,43.0572024200134
"5417","Larceny","900  Hiawatha Blvd W","12/28/2015",900,"HIAWATHA BLVD W","900  HIAWATHA BLVD W ",-76.1806684074345,43.0590282101029
"5418","Larceny","500  Bear St","12/28/2015",500,"BEAR ST","500  BEAR ST ",-76.1603852180858,43.0709011912659
"5419","Larceny","100  Erie Blvd E","12/28/2015",100,"ERIE BLVD E","100  ERIE BLVD E ",-76.1521708073297,43.0508871327153
"5420","Larceny","100  Erie Blvd E","12/28/2015",100,"ERIE BLVD E","100  ERIE BLVD E ",-76.1521708073297,43.0508871327153
"5421","Larceny","500  Otisco St","12/28/2015",500,"OTISCO ST","500  OTISCO ST ",-76.1648038897272,43.0452047136921
"5422","Larceny","900  Maryland Av","12/28/2015",900,"MARYLAND AVE","900  MARYLAND AV ",-76.1200969642339,43.0344978557496
"5423","Aggravated assault","1500  E Genesee St","12/27/2015",1500,"E GENESEE ST","1500  E GENESEE ST ",-76.1276972991226,43.0470068116037
"5424","Aggravated assault","500  W Onondaga St","12/27/2015",500,"W ONONDAGA ST","500  W ONONDAGA ST ",-76.1582176909636,43.0399798094384
"5425","Burglary","100  Parkview Av","12/27/2015",100,"PARKVIEW AVE","100  PARKVIEW AV ",-76.162347547053,43.026575390468
"5426","Burglary","400  Westcott St","12/27/2015",400,"WESTCOTT ST","400  WESTCOTT ST ",-76.119556953392,43.0440207397304
"5427","Burglary","2100  E Fayette St","12/27/2015",2100,"E FAYETTE ST","2100  E FAYETTE ST ",-76.1137109828578,43.0482046425932
"5428","Burglary","2400  Lodi St","12/27/2015",2400,"LODI ST","2400  LODI ST ",-76.1598669679731,43.0661939112727
"5429","Burglary","2500  Midland Av","12/27/2015",2500,"MIDLAND AVE","2500  MIDLAND AV ",-76.1481355687978,43.0156185450622
"5430","Larceny","0  Destiny Usa Dr","12/27/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
