"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"2203","Burglary","1200  S  State St","8/1/2016",1200,"S STATE ST","1200  S  STATE ST ",-76.1473794791112,43.0382348084064
"2204","Burglary","1400  E  Genesee St","8/1/2016",1400,"E GENESEE ST","1400  E  GENESEE ST ",-76.1298052312958,43.0469678671311
"2205","Burglary","600  E  Division St","8/1/2016",600,"E DIVISION ST","600  E  DIVISION ST ",-76.1502819702631,43.0616672561912
"2206","Burglary","700  Avery Av","8/1/2016",700,"AVERY AVE","700  AVERY AV ",-76.194019442006,43.0513723336755
"2207","Burglary","700  Emerson Av","8/1/2016",700,"EMERSON AVE","700  EMERSON AV ",-76.1886000217457,43.0546666638086
"2208","Burglary","700  N  Salina St","8/1/2016",700,"N SALINA ST","700  N  SALINA ST ",-76.1531172152779,43.0605184759536
"2209","Larceny","0  Destiny Usa Dr","8/1/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"2210","Larceny","0  Destiny Usa Dr","8/1/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"2211","Larceny","100  Ainsley Dr","8/1/2016",100,"AINSLEY DR","100  AINSLEY DR ",-76.1337782164788,43.0110408513458
"2212","Larceny","100  Woodbine Av","8/1/2016",100,"WOODBINE AVE","100  WOODBINE AV ",-76.1100547286967,43.0686776374293
"2213","Larceny","1200  Canal St","8/1/2016",1200,"CANAL ST","1200  CANAL ST ",-76.1155689430757,43.0542357385591
"2214","Larceny","2500  Erie Blvd E","8/1/2016",2500,"ERIE BLVD E","2500  ERIE BLVD E ",-76.1040887365649,43.0535201241854
"2215","Larceny","2500  Grant Blvd","8/1/2016",2500,"GRANT BLVD","2500  GRANT BLVD ",-76.1498126237176,43.0740092439404
"2216","Larceny","2700  Erie Blvd E","8/1/2016",2700,"ERIE BLVD E","2700  ERIE BLVD E ",-76.0981503009243,43.054212930761
"2217","Larceny","300  Hillside St","8/1/2016",300,"HILLSIDE ST","300  HILLSIDE ST ",-76.1421194474609,43.0774781264641
"2218","Larceny","400  Burdick Av","8/1/2016",400,"BURDICK AVE","400  BURDICK AV ",-76.1559677674429,43.0774823892059
"2219","Larceny","400  Plymouth Dr","8/1/2016",400,"PLYMOUTH DR","400  PLYMOUTH DR ",-76.0990190553077,43.064305376712
"2220","Larceny","4800  S  Salina St","8/1/2016",4800,"S SALINA ST","4800  S  SALINA ST ",-76.1427301727157,43.0007025721858
