"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"1","Aggravated assault","200  Hoefler St","12/31/2016",200,"HOEFLER ST","200  HOEFLER ST ",-76.1796829620794,43.0363944879319
"2","Aggravated assault","600  Park St","12/31/2016",600,"PARK ST","600  PARK ST ",-76.1414841925628,43.0629898118311
"3","Burglary","100  Colby Av","12/31/2016",100,"COLBY AVE","100  COLBY AV ",-76.1029713619944,43.0709385209468
"4","Larceny","0  Destiny Usa Dr","12/31/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5","Larceny","3400  James St","12/31/2016",3400,"JAMES ST","3400  JAMES ST ",-76.1000964449312,43.069143831812
"6","Aggravated assault","100  Wood Av","12/30/2016",100,"WOOD AVE","100  WOOD AV ",-76.1455627801724,43.0261215642639
"7","Aggravated assault","1100  N  Salina St","12/30/2016",1100,"N SALINA ST","1100  N  SALINA ST ",-76.1566874705681,43.064861349553
"8","Aggravated assault","1600  W  Onondaga St","12/30/2016",1600,"W ONONDAGA ST","1600  W  ONONDAGA ST ",-76.1794938380764,43.0337788023408
"9","Burglary","100  Bassett St","12/30/2016",100,"BASSETT ST","100  BASSETT ST ",-76.1225009674348,43.0465059958789
"10","Burglary","100  Rosewood St","12/30/2016",100,"ROSEWOOD ST","100  ROSEWOOD ST ",-76.1425582247172,43.0588969912066
"11","Burglary","500  State Fair Blvd","12/30/2016",500,"STATE FAIR BLVD","500  STATE FAIR BLVD ",-76.1806684074345,43.0590282101029
"12","Burglary","600  Butternut St","12/30/2016",600,"BUTTERNUT ST","600  BUTTERNUT ST ",-76.1469777874171,43.0598741166888
"13","Larceny","0  Destiny Usa Dr","12/30/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"14","Larceny","0  Destiny Usa Dr","12/30/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"15","Larceny","100  Herkimer St","12/30/2016",100,"HERKIMER ST","100  HERKIMER ST ",-76.1886000217457,43.0546666638086
"16","Larceny","1800  Lodi St","12/30/2016",1800,"LODI ST","1800  LODI ST ",-76.1511220469699,43.0621216106901
"17","Larceny","2400  James St","12/30/2016",2400,"JAMES ST","2400  JAMES ST ",-76.1127510756098,43.0685482101259
"18","Larceny","400  S  Alvord St","12/30/2016",400,"S ALVORD ST","400  S  ALVORD ST ",-76.1448984978689,43.0616807267208
"19","Larceny","500  Prospect Av","12/30/2016",500,"PROSPECT AVE","500  PROSPECT AV ",-76.1511782211971,43.0580832777061
"20","Vehicle theft","4300  S  Salina St","12/30/2016",4300,"S SALINA ST","4300  S  SALINA ST ",-76.1430296249449,43.0069866772238
"22","Aggravated assault","100  Palmer Av","12/29/2016",100,"PALMER AVE","100  PALMER AV ",-76.162687632482,43.0356249662506
"23","Burglary","300  Pond St","12/29/2016",300,"POND ST","300  POND ST ",-76.1524225235205,43.06471088052
"25","Larceny","1200  W  Genesee St","12/29/2016",1200,"W GENESEE ST","1200  W  GENESEE ST ",-76.1753543172742,43.0534476053649
"26","Burglary","100  Smith Ln","12/28/2016",100,"SMITH LN","100  SMITH LN ",-76.1367750069272,43.0223034588626
"27","Burglary","200  Hawley Av","12/28/2016",200,"HAWLEY AVE","200  HAWLEY AV ",-76.1437891338263,43.0533442252727
"28","Burglary","3300  S  Salina St","12/28/2016",3300,"S SALINA ST","3300  S  SALINA ST ",-76.141225675799,43.0166453956353
"29","Larceny","0  Destiny Usa Dr","12/28/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"30","Larceny","100  Reed Av","12/28/2016",100,"REED AVE","100  REED AV ",-76.1817582731352,43.0326053075645
"31","Larceny","100  Rider Av","12/28/2016",100,"RIDER AVE","100  RIDER AV ",-76.180757881877,43.0326395155467
"32","Larceny","100  Vann St","12/28/2016",100,"VANN ST","100  VANN ST ",-76.1220883819883,43.0563445180822
"33","Larceny","400  Village Dr","12/28/2016",400,"VILLAGE DR","400  VILLAGE DR ",-76.1170653797767,43.0706563162951
"34","Larceny","700  First North St","12/28/2016",700,"FIRST NORTH ST","700  FIRST NORTH ST ",-76.148962125934,43.0693624256203
"35","Vehicle theft","100  Ferris Av","12/28/2016",100,"FERRIS AVE","100  FERRIS AV ",-76.1071747113675,43.0456622223055
"36","Vehicle theft","300  Shirley Dr","12/28/2016",300,"SHIRLEY DR","300  SHIRLEY DR ",-76.1552069837911,43.0096068307766
"37","Aggravated assault","100  Elmwood Av","12/27/2016",100,"ELMWOOD AVE","100  ELMWOOD AV ",-76.1614565245154,43.0187268081398
"38","Aggravated assault","1200  Milton Av","12/27/2016",1200,"MILTON AVE","1200  MILTON AV ",-76.1967498599363,43.0588393950705
"39","Burglary","100  N  Midler Av","12/27/2016",100,"N MIDLER AVE","100  N  MIDLER AV ",-76.1053298646345,43.0688974230543
"40","Burglary","100  Steuben St","12/27/2016",100,"STEUBEN ST","100  STEUBEN ST ",-76.1519742466533,43.0653040272821
"41","Burglary","300  Gifford St","12/27/2016",300,"GIFFORD ST","300  GIFFORD ST ",-76.1581804272592,43.0434499762915
"42","Burglary","500  Richmond Av","12/27/2016",500,"RICHMOND AVE","500  RICHMOND AV ",-76.1746165616025,43.0502492662197
"43","Burglary","900  Hiawatha Blvd E","12/27/2016",900,"HIAWATHA BLVD E","900  HIAWATHA BLVD E ",-76.159873165578,43.0796895774425
"44","Larceny","0  Destiny Usa Dr","12/27/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"45","Larceny","200  Burnet Park Dr","12/27/2016",200,"BURNET PARK DR","200  BURNET PARK DR ",-76.1854746436125,43.0456895073123
"46","Larceny","200  Markland Av","12/27/2016",200,"MARKLAND AVE","200  MARKLAND AV ",-76.1796006394283,43.0317126983362
"47","Larceny","200  Village Dr","12/27/2016",200,"VILLAGE DR","200  VILLAGE DR ",-76.1179595191027,43.0720461962832
"48","Larceny","3400  Burnet Av","12/27/2016",3400,"BURNET AVE","3400  BURNET AV ",-76.0914045823242,43.061131918115
"49","Larceny","700  Court St","12/27/2016",700,"COURT ST","700  COURT ST ",-76.1555184647823,43.072016676271
"50","Vehicle theft","1600  S  Salina St","12/27/2016",1600,"S SALINA ST","1600  S  SALINA ST ",-76.1476511864728,43.0305282967277
"51","Vehicle theft","300  Coolidge Av","12/27/2016",300,"COOLIDGE AVE","300  COOLIDGE AV ",-76.1634841142688,43.0316539292214
"52","Aggravated assault","100  Merriman Av","12/26/2016",100,"MERRIMAN AVE","100  MERRIMAN AV ",-76.1617215760033,43.0405002037145
"53","Burglary","2500  Erie Blvd E","12/26/2016",2500,"ERIE BLVD E","2500  ERIE BLVD E ",-76.1040887365649,43.0535201241854
"54","Burglary","600  James St","12/26/2016",600,"JAMES ST","600  JAMES ST ",-76.144556110149,43.0542907164879
"55","Burglary","100  Hixson Av","12/26/2016",100,"HIXSON AVE","100  HIXSON AV ",-76.1216258693846,43.0655263021847
"56","Larceny","100  Hancock Dr","12/26/2016",100,"HANCOCK DR","100  HANCOCK DR ",-76.1796579469132,43.0268486119072
"57","Larceny","100  Swansea Dr","12/26/2016",100,"SWANSEA DR","100  SWANSEA DR ",-76.1207155206545,43.0711114320063
"58","Larceny","1200  James St","12/26/2016",1200,"JAMES ST","1200  JAMES ST ",-76.1305346487448,43.0611678291402
"59","Larceny","2800  E  Genesee St","12/26/2016",2800,"E GENESEE ST","2800  E  GENESEE ST ",-76.1073127264835,43.0431642442345
"60","Larceny","0  Destiny Usa Dr","12/26/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"62","Robbery","1000  W  Genesee St","12/26/2016",1000,"W GENESEE ST","1000  W  GENESEE ST ",-76.1705542199292,43.0536571231732
"63","Robbery","3900  S  Salina St","12/26/2016",3900,"S SALINA ST","3900  S  SALINA ST ",-76.1421660170882,43.0107095503917
"64","Vehicle theft","800  W  Belden Av","12/26/2016",800,"W BELDEN AVE","800  W  BELDEN AV ",-76.1630104884033,43.0547750559515
"65","Aggravated assault","200  Furman St","12/25/2016",200,"FURMAN ST","200  FURMAN ST ",-76.148279174954,43.0318349473845
"66","Burglary","700  Grant Blvd","12/25/2016",700,"GRANT BLVD","700  GRANT BLVD ",-76.1264460783149,43.0728942618557
"67","Larceny","800  Butternut St","12/25/2016",800,"BUTTERNUT ST","800  BUTTERNUT ST ",-76.1448984978689,43.0616807267208
"68","Robbery","100  Remington Av","12/25/2016",100,"REMINGTON AVE","100  REMINGTON AV ",-76.1332463586678,43.0185527267954
"69","Aggravated assault","0  Destiny Usa Dr","12/24/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"70","Burglary","600  Euclid Av","12/24/2016",600,"EUCLID AVE","600  EUCLID AV ",-76.1243851504626,43.0365387974449
"71","Larceny","3000  Midland Av","12/24/2016",3000,"MIDLAND AVE","3000  MIDLAND AV ",-76.1477659779326,43.0113315406964
"72","Larceny","1000  Park St","12/24/2016",1000,"PARK ST","1000  PARK ST ",-76.1481254250325,43.0645186009101
"73","Larceny","2700  S  Salina St","12/24/2016",2700,"S SALINA ST","2700  S  SALINA ST ",-76.1433468560455,43.0214155625756
"75","Aggravated assault","1000  S  Clinton St","12/23/2016",1000,"S CLINTON ST","1000  S  CLINTON ST ",-76.1515438851775,43.0389766620525
"76","Burglary","100  Milnor Av","12/23/2016",100,"MILNOR AVE","100  MILNOR AV ",-76.1035719788117,43.0473415427531
"77","Burglary","1600  Bellevue Av","12/23/2016",1600,"BELLEVUE AVE","1600  BELLEVUE AV ",-76.180757881877,43.0326395155467
"78","Burglary","600  Jamesville Av","12/23/2016",600,"JAMESVILLE AVE","600  JAMESVILLE AV ",-76.1320604790157,43.0203779594284
"79","Burglary","700  Maryland Av","12/23/2016",700,"MARYLAND AVE","700  MARYLAND AV ",-76.120466998956,43.0385030765109
"80","Burglary","900  Danforth St","12/23/2016",900,"DANFORTH ST","900  DANFORTH ST ",-76.1538940794612,43.0713589322295
"81","Burglary","900  N  Salina St","12/23/2016",900,"N SALINA ST","900  N  SALINA ST ",-76.1550479467754,43.0629554048407
"82","Larceny","200  Hunt Av","12/23/2016",200,"HUNT AVE","200  HUNT AV ",-76.155738084416,43.0209364035763
"83","Larceny","0  Destiny Usa Dr","12/23/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"84","Larceny","0  Destiny Usa Dr","12/23/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"85","Larceny","100  Ballantyne Rd","12/23/2016",100,"BALLANTYNE RD","100  BALLANTYNE RD ",-76.1421660170882,43.0107095503917
"86","Larceny","300  Montgomery St","12/23/2016",300,"MONTGOMERY ST","300  MONTGOMERY ST ",-76.1493183522374,43.048652384225
"87","Larceny","400  Broad St","12/23/2016",400,"BROAD ST","400  BROAD ST ",-76.1211828198231,43.0302871007028
"88","Larceny","500  W  Seneca Tpke","12/23/2016",500,"W SENECA TPKE","500  W  SENECA TPKE ",-76.1552491960946,43.002372496527
"89","Larceny","800  Ackerman Av","12/23/2016",800,"ACKERMAN AVE","800  ACKERMAN AV ",-76.1243851504626,43.0365387974449
"90","Robbery","1100  N  Salina St","12/23/2016",1100,"N SALINA ST","1100  N  SALINA ST ",-76.1566874705681,43.064861349553
"91","Aggravated assault","100  Washington Sq","12/22/2016",100,"WASHINGTON SQ","100  WASHINGTON SQ ",-76.1621260903085,43.0700964232667
"92","Burglary","5600  S  Salina St","12/22/2016",5600,"S SALINA ST","5600  S  SALINA ST ",-76.1442561031602,42.9889121072705
"93","Larceny","4100  S  Salina St","12/22/2016",4100,"S SALINA ST","4100  S  SALINA ST ",-76.1425438631157,43.0088377895103
"94","Larceny","0  Destiny Usa Dr","12/22/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"95","Larceny","100  Roney Rd","12/22/2016",100,"RONEY RD","100  RONEY RD ",-76.1428438677361,43.0025014271584
"96","Larceny","100  W  Fayette St","12/22/2016",100,"W FAYETTE ST","100  W  FAYETTE ST ",-76.1522226474308,43.0486918177446
"97","Larceny","100  Wood Av","12/22/2016",100,"WOOD AVE","100  WOOD AV ",-76.1455627801724,43.0261215642639
"98","Larceny","1800  Teall Av","12/22/2016",1800,"TEALL AVE","1800  TEALL AV ",-76.1231552458591,43.0722097488932
"99","Larceny","700  Butternut St","12/22/2016",700,"BUTTERNUT ST","700  BUTTERNUT ST ",-76.1458238613387,43.0604360319664
"100","Robbery","100  Oakdale Dr","12/22/2016",100,"OAKDALE DR","100  OAKDALE DR ",-76.155423009874,43.007374204388
"101","Robbery","200  Warner Av","12/22/2016",200,"WARNER AVE","200  WARNER AV ",-76.1452832187761,43.0223722190171
"102","Vehicle theft","100  Thurgood Ter","12/22/2016",100,"THURGOOD TER","100  THURGOOD TER ",-76.1471603311055,43.0355070478743
"103","Arson","500  Burnet Av","12/21/2016",500,"BURNET AVE","500  BURNET AV ",-76.1391369800784,43.0521972582215
"104","Arson","800  Pond St","12/21/2016",800,"POND ST","800  POND ST ",-76.148962125934,43.0693624256203
"105","Burglary","800  James St","12/21/2016",800,"JAMES ST","800  JAMES ST ",-76.1403913695833,43.0563374389097
"106","Larceny","300  E  Brighton Av","12/21/2016",300,"E BRIGHTON AVE","300  E  BRIGHTON AV ",-76.1401515076754,43.0199406312041
"107","Larceny","300  Prospect Av","12/21/2016",300,"PROSPECT AVE","300  PROSPECT AV ",-76.1492618842256,43.0557172517855
"108","Larceny","800  S  Salina St","12/21/2016",800,"S SALINA ST","800  S  SALINA ST ",-76.1505830230431,43.040353698505
"109","Vehicle theft","200  Harrison St","12/21/2016",200,"HARRISON ST","200  HARRISON ST ",-76.1508596534093,43.0443066463986
"110","Vehicle theft","2300  James St","12/21/2016",2300,"JAMES ST","2300  JAMES ST ",-76.115634015329,43.0683856764016
"111","Burglary","1600  Valley Dr","12/20/2016",1600,"VALLEY DR","1600  VALLEY DR ",-76.1531562023869,43.0020659160825
"112","Larceny","300  Clairmonte Av","12/20/2016",300,"CLAIRMONTE AVE","300  CLAIRMONTE AV ",-76.1691856772092,43.0302867834085
"113","Larceny","300  Wolf St","12/20/2016",300,"WOLF ST","300  WOLF ST ",-76.1643906470494,43.0710091992044
"114","Larceny","900  Kirkpatrick St","12/20/2016",900,"KIRKPATRICK ST","900  KIRKPATRICK ST ",-76.1513632418442,43.0718895775389
"115","Robbery","2500  James St","12/20/2016",2500,"JAMES ST","2500  JAMES ST ",-76.111362329404,43.0686134991173
"116","Vehicle theft","800  N  Alvord St","12/20/2016",800,"N ALVORD ST","800  N  ALVORD ST ",-76.1557166554777,43.066045762007
"117","Burglary","200  N  Geddes St","12/19/2016",200,"N GEDDES ST","200  N  GEDDES ST ",-76.1707011902955,43.0501479117892
"118","Burglary","400  W  Seneca Tpke","12/19/2016",400,"W SENECA TPKE","400  W  SENECA TPKE ",-76.1531562023869,43.0020659160825
"119","Burglary","100  S  Warren St","12/19/2016",100,"S WARREN ST","100  S  WARREN ST ",-76.1507633258196,43.0508898120535
"120","Larceny","100  Genesee Park Dr","12/19/2016",100,"GENESEE PARK DR","100  GENESEE PARK DR ",-76.1095946622769,43.05068083549
"121","Larceny","100  W  Brighton Av","12/19/2016",100,"W BRIGHTON AVE","100  W  BRIGHTON AV ",-76.1429958522506,43.0206917322399
"122","Larceny","2500  Erie Blvd E","12/19/2016",2500,"ERIE BLVD E","2500  ERIE BLVD E ",-76.1040887365649,43.0535201241854
"123","Larceny","3500  James St","12/19/2016",3500,"JAMES ST","3500  JAMES ST ",-76.0989190099407,43.0691997808824
"124","Larceny","400  N  Salina St","12/19/2016",400,"N SALINA ST","400  N  SALINA ST ",-76.1520736864252,43.0560763602606
"125","Vehicle theft","1400  Midland Av","12/19/2016",1400,"MIDLAND AVE","1400  MIDLAND AV ",-76.1513411635968,43.0254695328532
"126","Vehicle theft","300  Carbon St","12/19/2016",300,"CARBON ST","300  CARBON ST ",-76.1463798267946,43.0652704437549
"127","Vehicle theft","300  Montgomery St","12/19/2016",300,"MONTGOMERY ST","300  MONTGOMERY ST ",-76.1493183522374,43.048652384225
"128","Larceny","100  Gifford St","12/18/2016",100,"GIFFORD ST","100  GIFFORD ST ",-76.1532631447548,43.0436363851758
"129","Larceny","200  Grumbach Av","12/18/2016",200,"GRUMBACH AVE","200  GRUMBACH AV ",-76.1395941612484,43.0641461669292
"130","Larceny","300  Herbert St","12/18/2016",300,"HERBERT ST","300  HERBERT ST ",-76.1485286199041,43.068213101939
"131","Larceny","300  Prospect Av","12/18/2016",300,"PROSPECT AVE","300  PROSPECT AV ",-76.1492618842256,43.0557172517855
"132","Vehicle theft","1000  Pond St","12/18/2016",1000,"POND ST","1000  POND ST ",-76.1471178038521,43.0717881671348
"133","Larceny","1000  S  Clinton St","12/17/2016",1000,"S CLINTON ST","1000  S  CLINTON ST ",-76.1515438851775,43.0389766620525
"134","Larceny","200  N  West St","12/17/2016",200,"N WEST ST","200  N  WEST ST ",-76.1591144357964,43.0510043030121
"135","Larceny","300  Gifford St","12/17/2016",300,"GIFFORD ST","300  GIFFORD ST ",-76.1581804272592,43.0434499762915
"136","Larceny","300  Leavenworth Av","12/17/2016",300,"LEAVENWORTH AVE","300  LEAVENWORTH AV ",-76.1630680961035,43.0534639051974
"137","Larceny","300  Stafford Av","12/17/2016",300,"STAFFORD AVE","300  STAFFORD AV ",-76.112323401394,43.0638017973603
"138","Larceny","500  Euclid Av","12/17/2016",500,"EUCLID AVE","500  EUCLID AV ",-76.12566362853,43.0364835460614
"139","Larceny","700  Livingston Av","12/17/2016",700,"LIVINGSTON AVE","700  LIVINGSTON AV ",-76.1270706418628,43.0380439023348
"140","Aggravated assault","600  Robinson St","12/16/2016",600,"ROBINSON ST","600  ROBINSON ST ",-76.1197628960492,43.0584967722302
"141","Burglary","100  Linwill Ter","12/16/2016",100,"LINWILL TER","100  LINWILL TER ",-76.1167722048167,43.0720599559677
"142","Larceny","100  E  Water St","12/16/2016",100,"E WATER ST","100  E  WATER ST ",-76.1521856660173,43.0505352123375
"144","Larceny","300  E  Willow St","12/16/2016",300,"E WILLOW ST","300  E  WILLOW ST ",-76.1497993517497,43.0528622203571
"145","Larceny","700  N  Clinton St","12/16/2016",700,"N CLINTON ST","700  N  CLINTON ST ",-76.1565392094377,43.0590657121697
"146","Larceny","900  James St","12/16/2016",900,"JAMES ST","900  JAMES ST ",-76.1386272183664,43.0572024200134
"147","Larceny","900  N  Clinton St","12/16/2016",900,"N CLINTON ST","900  N  CLINTON ST ",-76.1602164207084,43.0630253617982
"148","Aggravated assault","500  S  Beech St","12/15/2016",500,"S BEECH ST","500  S  BEECH ST ",-76.1254428619336,43.0453350636075
"149","Burglary","900  N  Salina St","12/15/2016",900,"N SALINA ST","900  N  SALINA ST ",-76.1550479467754,43.0629554048407
"150","Larceny","100  S  Warren St","12/15/2016",100,"S WARREN ST","100  S  WARREN ST ",-76.1507633258196,43.0508898120535
"151","Larceny","0  Destiny Usa Dr","12/15/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"152","Larceny","0  Destiny Usa Dr","12/15/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"154","Larceny","200  Hawley Av","12/15/2016",200,"HAWLEY AVE","200  HAWLEY AV ",-76.1437891338263,43.0533442252727
"155","Larceny","500  Grant Av","12/15/2016",500,"GRANT AVE","500  GRANT AV ",-76.1783890188978,43.0317543838375
"157","Burglary","1100  N  Salina St","12/14/2016",1100,"N SALINA ST","1100  N  SALINA ST ",-76.1566874705681,43.064861349553
"158","Larceny","100  Grand Av","12/14/2016",100,"GRAND AVE","100  GRAND AV ",-76.172029296282,43.0409596696504
"159","Larceny","100  Holden St","12/14/2016",100,"HOLDEN ST","100  HOLDEN ST ",-76.1810416362583,43.0384333921561
"160","Larceny","100  Mckinley Av","12/14/2016",100,"MCKINLEY AVE","100  MCKINLEY AV ",-76.1445585669428,43.0239960230922
"161","Larceny","100  Remington Av","12/14/2016",100,"REMINGTON AVE","100  REMINGTON AV ",-76.1332463586678,43.0185527267954
"162","Larceny","1900  Park St","12/14/2016",1900,"PARK ST","1900  PARK ST ",-76.1643906470494,43.0710091992044
"163","Larceny","400  Montgomery St","12/14/2016",400,"MONTGOMERY ST","400  MONTGOMERY ST ",-76.1487621501191,43.0470306656881
"164","Larceny","500  Clarendon St","12/14/2016",500,"CLARENDON ST","500  CLARENDON ST ",-76.1233061082975,43.0383447362043
"165","Robbery","700  E  Adams St","12/14/2016",700,"E ADAMS ST","700  E  ADAMS ST ",-76.1421693479635,43.0427033065355
"166","Burglary","100  Fernwood Av","12/13/2016",100,"FERNWOOD AVE","100  FERNWOOD AV ",-76.1468023484292,43.0231094045338
"167","Burglary","200  Wall St","12/13/2016",200,"WALL ST","200  WALL ST ",-76.1730099442136,43.0502158055642
"168","Larceny","100  Melrose Av","12/13/2016",100,"MELROSE AVE","100  MELROSE AV ",-76.1226495026488,43.06426328911
"169","Larceny","300  Jamesville Av","12/13/2016",300,"JAMESVILLE AVE","300  JAMESVILLE AV ",-76.1354122416745,43.0241434822843
"170","Larceny","500  Euclid Av","12/13/2016",500,"EUCLID AVE","500  EUCLID AV ",-76.12566362853,43.0364835460614
"172","Vehicle theft","200  Fellows Av","12/13/2016",200,"FELLOWS AVE","200  FELLOWS AV ",-76.1154622327671,43.0416866639738
"173","Burglary","100  Randall Av","12/12/2016",100,"RANDALL AVE","100  RANDALL AV ",-76.1569049536822,43.0231477921087
"174","Burglary","700  Ivy Ridge Rd","12/12/2016",700,"IVY RIDGE RD","700  IVY RIDGE RD ",-76.13478268712,43.0182248348227
"175","Larceny","0  Destiny Usa Dr","12/12/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"177","Larceny","100  Gertrude St","12/12/2016",100,"GERTRUDE ST","100  GERTRUDE ST ",-76.1391224543407,43.0532804093081
"178","Larceny","100  Spring St","12/12/2016",100,"SPRING ST","100  SPRING ST ",-76.1433507478936,43.0650511771723
"179","Larceny","1100  N  Salina St","12/12/2016",1100,"N SALINA ST","1100  N  SALINA ST ",-76.1566874705681,43.064861349553
"180","Larceny","1300  E  Genesee St","12/12/2016",1300,"E GENESEE ST","1300  E  GENESEE ST ",-76.1307789858025,43.0469494244525
"181","Larceny","400  Craddock St","12/12/2016",400,"CRADDOCK ST","400  CRADDOCK ST ",-76.1626512721752,43.0204903246639
"182","Larceny","400  S  Lowell Av","12/12/2016",400,"S LOWELL AVE","400  S  LOWELL AV ",-76.1802499431687,43.04591660041
"183","Larceny","600  Crawford Av","12/12/2016",600,"CRAWFORD AVE","600  CRAWFORD AV ",-76.1092038655101,43.0356963939106
"184","Larceny","600  Gifford St","12/12/2016",600,"GIFFORD ST","600  GIFFORD ST ",-76.166825058728,43.0430418165634
"185","Robbery","200  Herkimer St","12/12/2016",200,"HERKIMER ST","200  HERKIMER ST ",-76.1897421637917,43.0542272879894
"186","Vehicle theft","600  W  Genesee St","12/12/2016",600,"W GENESEE ST","600  W  GENESEE ST ",-76.1600498775123,43.0533968892756
"187","Burglary","100  Eureka St","12/11/2016",100,"EUREKA ST","100  EUREKA ST ",-76.1753543172742,43.0534476053649
"188","Larceny","1100  Valley Dr","12/11/2016",1100,"VALLEY DR","1100  VALLEY DR ",-76.1550436588892,43.0066360469246
"189","Larceny","200  E  Water St","12/11/2016",200,"E WATER ST","200  E  WATER ST ",-76.1507661513733,43.050513368692
"190","Larceny","2000  Erie Blvd E","12/11/2016",2000,"ERIE BLVD E","2000  ERIE BLVD E ",-76.1150106160706,43.0510369667133
"191","Larceny","300  Clairmonte Av","12/11/2016",300,"CLAIRMONTE AVE","300  CLAIRMONTE AV ",-76.1691856772092,43.0302867834085
"192","Larceny","400  Ivy Ridge Rd","12/11/2016",400,"IVY RIDGE RD","400  IVY RIDGE RD ",-76.13478268712,43.0182248348227
"193","Robbery","2400  James St","12/11/2016",2400,"JAMES ST","2400  JAMES ST ",-76.1127510756098,43.0685482101259
"194","Vehicle theft","500  Highland St","12/11/2016",500,"HIGHLAND ST","500  HIGHLAND ST ",-76.1413132077457,43.0603905376466
"195","Arson","700  James St","12/10/2016",700,"JAMES ST","700  JAMES ST ",-76.1431198683861,43.0549978910387
"196","Burglary","100  Forest Av","12/10/2016",100,"FOREST AVE","100  FOREST AV ",-76.1464303660779,43.0212959388662
"197","Burglary","1000  Pond St","12/10/2016",1000,"POND ST","1000  POND ST ",-76.1471178038521,43.0717881671348
"198","Burglary","700  First North St","12/10/2016",700,"FIRST NORTH ST","700  FIRST NORTH ST ",-76.148962125934,43.0693624256203
"199","Larceny","100  Remington Av","12/10/2016",100,"REMINGTON AVE","100  REMINGTON AV ",-76.1332463586678,43.0185527267954
"200","Larceny","100  W  Beard Av","12/10/2016",100,"W BEARD AVE","100  W  BEARD AV ",-76.1459872348277,43.0270132294957
"201","Larceny","400  John St","12/10/2016",400,"JOHN ST","400  JOHN ST ",-76.1458163207911,43.0660191008772
"202","Larceny","4000  S  Salina St","12/10/2016",4000,"S SALINA ST","4000  S  SALINA ST ",-76.1423234062057,43.0097647136707
"203","Aggravated assault","400  James St","12/9/2016",400,"JAMES ST","400  JAMES ST ",-76.1483616340809,43.0524150512665
"204","Larceny","0  Destiny Usa Dr","12/9/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"205","Larceny","100  Delray Av","12/9/2016",100,"DELRAY AVE","100  DELRAY AV ",-76.1037786311123,43.0497208156891
"206","Larceny","1000  Spring St","12/9/2016",1000,"SPRING ST","1000  SPRING ST ",-76.1531544118573,43.0694899952642
"207","Larceny","1700  W  Genesee St","12/9/2016",1700,"W GENESEE ST","1700  W  GENESEE ST ",-76.1893460652938,43.0519130224447
"208","Larceny","200  Hayden Av","12/9/2016",200,"HAYDEN AVE","200  HAYDEN AV ",-76.1964871670104,43.0531875246156
"209","Larceny","300  E  Willow St","12/9/2016",300,"E WILLOW ST","300  E  WILLOW ST ",-76.1497993517497,43.0528622203571
"210","Vehicle theft","100  Slayton Av","12/9/2016",100,"SLAYTON AVE","100  SLAYTON AV ",-76.1464002790048,43.0105164137009
"211","Vehicle theft","1000  Midland Av","12/9/2016",1000,"MIDLAND AVE","1000  MIDLAND AV ",-76.1528434233338,43.0293485083312
"212","Vehicle theft","1300  Burnet Av","12/9/2016",1300,"BURNET AVE","1300  BURNET AV ",-76.1219501855883,43.0542655006579
"213","Vehicle theft","300  Vann St","12/9/2016",300,"VANN ST","300  VANN ST ",-76.1169348007966,43.0565967316807
"214","Aggravated assault","100  Lakeview Av","12/8/2016",100,"LAKEVIEW AVE","100  LAKEVIEW AV ",-76.1742549152954,43.0493270119451
"215","Burglary","1200  Oak St","12/8/2016",1200,"OAK ST","1200  OAK ST ",-76.1364372529517,43.0684692896907
"216","Burglary","2500  Lodi St","12/8/2016",2500,"LODI ST","2500  LODI ST ",-76.1614397458216,43.0668294937064
"217","Burglary","700  Butternut St","12/8/2016",700,"BUTTERNUT ST","700  BUTTERNUT ST ",-76.1458238613387,43.0604360319664
"218","Larceny","100  Dickerson St","12/8/2016",100,"DICKERSON ST","100  DICKERSON ST ",-76.1535353039337,43.0443774146349
"219","Larceny","100  Fish Av","12/8/2016",100,"FISH AVE","100  FISH AV ",-76.1550722886314,43.0066882201177
"220","Larceny","100  Swansea Dr","12/8/2016",100,"SWANSEA DR","100  SWANSEA DR ",-76.1207155206545,43.0711114320063
